DMS_filename,DMS_id,selection_type,coarse_selection_type,mutation_type
ACE2_HUMAN_Chan_2020.csv,ACE2_HUMAN_Chan_2020,Flow Cytometry Assay,Binding,substitutions
B2L11_HUMAN_Dutta_2010_binding-Mcl-1.csv,B2L11_HUMAN_Dutta_2010_binding-Mcl-1,FACS,Binding,substitutions
CCR5_HUMAN_Gill_2023.csv,CCR5_HUMAN_Gill_2023,FACS,Binding,substitutions
CD19_HUMAN_Klesmith_2019_FMC_singles.csv,CD19_HUMAN_Klesmith_2019_FMC_singles,FACS,Binding,substitutions
CP2C9_HUMAN_Amorosi_2021_activity.csv,CP2C9_HUMAN_Amorosi_2021_activity,"Activity, binding",Binding,substitutions
DLG4_RAT_McLaughlin_2012.csv,DLG4_RAT_McLaughlin_2012,Binding,Binding,substitutions
GCN4_YEAST_Staller_2018.csv,GCN4_YEAST_Staller_2018,FACS,Binding,substitutions
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR.csv,Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,,Binding,substitutions
RASK_HUMAN_Weng_2022_binding-DARPin_K55.csv,RASK_HUMAN_Weng_2022_binding-DARPin_K55,,Binding,substitutions
SPG1_STRSG_Olson_2014.csv,SPG1_STRSG_Olson_2014,Binding,Binding,substitutions
SPG1_STRSG_Wu_2016.csv,SPG1_STRSG_Wu_2016,binding,Binding,substitutions
SPIKE_SARS2_Starr_2020_binding.csv,SPIKE_SARS2_Starr_2020_binding,Binding,Binding,substitutions
YAP1_HUMAN_Araya_2012.csv,YAP1_HUMAN_Araya_2012,Binding,Binding,substitutions
