DMS_filename,DMS_id,selection_type,coarse_selection_type,mutation_type
KCNJ2_MOUSE_Macdonald_2022_indels.csv,KCNJ2_MOUSE_Macdonald_2022_indels,FACS,Expression,indels
S22A1_HUMAN_Yee_2023_abundance_indels.csv,S22A1_HUMAN_Yee_2023_abundance_indels,FACS,Expression,indels
CP2C9_HUMAN_Amorosi_2021_abundance.csv,CP2C9_HUMAN_Amorosi_2021_abundance,protein abundance,Expression,substitutions
ERBB2_HUMAN_Elazar_2016.csv,ERBB2_HUMAN_Elazar_2016,TOXCAT-Beta-lactamase (TbL) screen,Expression,substitutions
GLPA_HUMAN_Elazar_2016.csv,GLPA_HUMAN_Elazar_2016,TOXCAT-Beta-lactamase (TbL) screen,Expression,substitutions
HXK4_HUMAN_Gersing_2023_abundance.csv,HXK4_HUMAN_Gersing_2023_abundance,Growth,Expression,substitutions
KCNE1_HUMAN_Muhammad_2023_expression.csv,KCNE1_HUMAN_Muhammad_2023_expression,FACS,Expression,substitutions
KCNJ2_MOUSE_Coyote-Maestas_2022_surface.csv,KCNJ2_MOUSE_Coyote-Maestas_2022_surface,FACS,Expression,substitutions
LYAM1_HUMAN_Elazar_2016.csv,LYAM1_HUMAN_Elazar_2016,TOXCAT-Beta-lactamase (TbL) screen,Expression,substitutions
NUD15_HUMAN_Suiter_2020.csv,NUD15_HUMAN_Suiter_2020,"VAMP-seq, drug sensitivity",Expression,substitutions
OPSD_HUMAN_Wan_2019.csv,OPSD_HUMAN_Wan_2019,Flow Cytometry Assay,Expression,substitutions
OXDA_RHOTO_Vanella_2023_expression.csv,OXDA_RHOTO_Vanella_2023_expression,FACS,Expression,substitutions
PRKN_HUMAN_Clausen_2023.csv,PRKN_HUMAN_Clausen_2023,FACS,Expression,substitutions
PTEN_HUMAN_Matreyek_2021.csv,PTEN_HUMAN_Matreyek_2021,Protein stability,Expression,substitutions
Q53Z42_HUMAN_McShan_2019_expression.csv,Q53Z42_HUMAN_McShan_2019_expression,,Expression,substitutions
RASK_HUMAN_Weng_2022_abundance.csv,RASK_HUMAN_Weng_2022_abundance,,Expression,substitutions
S22A1_HUMAN_Yee_2023_abundance.csv,S22A1_HUMAN_Yee_2023_abundance,FACS,Expression,substitutions
SPIKE_SARS2_Starr_2020_expression.csv,SPIKE_SARS2_Starr_2020_expression,Binding,Expression,substitutions
TPMT_HUMAN_Matreyek_2018.csv,TPMT_HUMAN_Matreyek_2018,Protein stability,Expression,substitutions
VKOR1_HUMAN_Chiasson_2020_abundance.csv,VKOR1_HUMAN_Chiasson_2020_abundance,Fluorescence,Expression,substitutions
