DMS_filename,DMS_id,selection_type,coarse_selection_type,mutation_type
A4_HUMAN_Seuma_2022_indels.csv,A4_HUMAN_Seuma_2022_indels,survival assessment assay,Stability,indels
AMFR_HUMAN_Tsuboyama_2023_4G3O_indels.csv,AMFR_HUMAN_Tsuboyama_2023_4G3O_indels,cDNA display proteolysis,Stability,indels
ARGR_ECOLI_Tsuboyama_2023_1AOY_indels.csv,ARGR_ECOLI_Tsuboyama_2023_1AOY_indels,cDNA display proteolysis,Stability,indels
BBC1_YEAST_Tsuboyama_2023_1TG0_indels.csv,BBC1_YEAST_Tsuboyama_2023_1TG0_indels,cDNA display proteolysis,Stability,indels
BCHB_CHLTE_Tsuboyama_2023_2KRU_indels.csv,BCHB_CHLTE_Tsuboyama_2023_2KRU_indels,cDNA display proteolysis,Stability,indels
CATR_CHLRE_Tsuboyama_2023_2AMI_indels.csv,CATR_CHLRE_Tsuboyama_2023_2AMI_indels,cDNA display proteolysis,Stability,indels
CBPA2_HUMAN_Tsuboyama_2023_1O6X_indels.csv,CBPA2_HUMAN_Tsuboyama_2023_1O6X_indels,cDNA display proteolysis,Stability,indels
CBX4_HUMAN_Tsuboyama_2023_2K28_indels.csv,CBX4_HUMAN_Tsuboyama_2023_2K28_indels,cDNA display proteolysis,Stability,indels
CSN4_MOUSE_Tsuboyama_2023_1UFM_indels.csv,CSN4_MOUSE_Tsuboyama_2023_1UFM_indels,cDNA display proteolysis,Stability,indels
CUE1_YEAST_Tsuboyama_2023_2MYX_indels.csv,CUE1_YEAST_Tsuboyama_2023_2MYX_indels,cDNA display proteolysis,Stability,indels
DN7A_SACS2_Tsuboyama_2023_1JIC_indels.csv,DN7A_SACS2_Tsuboyama_2023_1JIC_indels,cDNA display proteolysis,Stability,indels
DNJA1_HUMAN_Tsuboyama_2023_2LO1_indels.csv,DNJA1_HUMAN_Tsuboyama_2023_2LO1_indels,cDNA display proteolysis,Stability,indels
DOCK1_MOUSE_Tsuboyama_2023_2M0Y_indels.csv,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_indels,cDNA display proteolysis,Stability,indels
EPHB2_HUMAN_Tsuboyama_2023_1F0M_indels.csv,EPHB2_HUMAN_Tsuboyama_2023_1F0M_indels,cDNA display proteolysis,Stability,indels
FECA_ECOLI_Tsuboyama_2023_2D1U_indels.csv,FECA_ECOLI_Tsuboyama_2023_2D1U_indels,cDNA display proteolysis,Stability,indels
HCP_LAMBD_Tsuboyama_2023_2L6Q_indels.csv,HCP_LAMBD_Tsuboyama_2023_2L6Q_indels,cDNA display proteolysis,Stability,indels
HECD1_HUMAN_Tsuboyama_2023_3DKM_indels.csv,HECD1_HUMAN_Tsuboyama_2023_3DKM_indels,cDNA display proteolysis,Stability,indels
ILF3_HUMAN_Tsuboyama_2023_2L33_indels.csv,ILF3_HUMAN_Tsuboyama_2023_2L33_indels,cDNA display proteolysis,Stability,indels
MAFG_MOUSE_Tsuboyama_2023_1K1V_indels.csv,MAFG_MOUSE_Tsuboyama_2023_1K1V_indels,cDNA display proteolysis,Stability,indels
MBD11_ARATH_Tsuboyama_2023_6ACV_indels.csv,MBD11_ARATH_Tsuboyama_2023_6ACV_indels,cDNA display proteolysis,Stability,indels
MYO3_YEAST_Tsuboyama_2023_2BTT_indels.csv,MYO3_YEAST_Tsuboyama_2023_2BTT_indels,cDNA display proteolysis,Stability,indels
NKX31_HUMAN_Tsuboyama_2023_2L9R_indels.csv,NKX31_HUMAN_Tsuboyama_2023_2L9R_indels,cDNA display proteolysis,Stability,indels
NUSA_ECOLI_Tsuboyama_2023_1WCL_indels.csv,NUSA_ECOLI_Tsuboyama_2023_1WCL_indels,cDNA display proteolysis,Stability,indels
NUSG_MYCTU_Tsuboyama_2023_2MI6_indels.csv,NUSG_MYCTU_Tsuboyama_2023_2MI6_indels,cDNA display proteolysis,Stability,indels
OBSCN_HUMAN_Tsuboyama_2023_1V1C_indels.csv,OBSCN_HUMAN_Tsuboyama_2023_1V1C_indels,cDNA display proteolysis,Stability,indels
